ID,Dirección,Renovador,Estado,Fecha Creación,Presupuesto PDF URL
SP-JUX-I1D-004388,"Calle Balmes 72, 1º, Carcaixent",Noclam,Reno in progress,2025-12-01,No tiene
SP-GSJ-NFS-005353,"C. Luisa Aledo, 14, 2º-B, Murcia",Almasur,Reno in progress,2025-11-26,No tiene
SP-EMI-TZ0-004687,"Calle Luis Cernuda, 10, 0º -B,  Vícar",Isaac,Reno in progress,2025-11-26,No tiene
SP-YBA-YV8-004474,"Calle Alfandech, 5, 3º-8, Tavernes de la Valldigna",Noclam,Reno in progress,2025-11-25,No tiene
SP-J5P-ID7-005259,"C. Pablo iglesias,118 4º - B Elda ",Pedro,Reno in progress,2025-11-24,No tiene
SP-B0I-7NS-005261,"C. Las Viñas, 18, Portal 6, 2º-B, Madridejos",Almasur,Reno in progress,2025-11-24,No tiene
SP-VEK-RRI-004769,"Calle Calvari, 160, 0º - B0, Villareal ",Catalín,Reno in progress,2025-11-24,No tiene
SP-SOU-ODM-004762,"C. Mar Báltico, 5, 3º-F, Cartagena",Almasur,Reno in progress,2025-11-24,No tiene
SP-VBY-EWJ-004700,"Avenida Daya Nueva, 5, 2º - 18, Almoradí ",Pedro,Reno in progress,2025-11-24,No tiene
SP-NGR-DIO-003966,"C. Nuestra Señora De La Piedad, 7, Portal B, 3º-Derecha, Talavera de la Reina",Almasur,Reno in progress,2025-11-24,No tiene
SP-RLH-QKW-004286,"Calle José Iranzo 20, 1º -1, Ontinyent",Vimafe,Reno in progress,2025-11-24,No tiene
SP-WY5-6OF-004608,"C. de las Viñas, 18, Portal 1, Bajo C, Madridejos",Almasur,Reno in progress,2025-11-24,No tiene
SP-KPS-NQK-004574,"Calle José García, 43, 1º - 1, Benejuzar ",Pedro,Reno in progress,2025-11-24,No tiene
SP-SLU-UEP-004582,"C. Perú 39, 3º - 1, Alcoy",Abelardo,Reno in progress,2025-11-24,No tiene
SP-TDG-V9N-004404,"C. Mariano Huesa 6, 2º - 8, Nules",Miguel Ángel,Reno in progress,2025-11-24,No tiene
SP-D6V-GUC-004503,"Calle Tirso de Molina, 3, 1º - 7, Almoradí ",Pedro,Reno in progress,2025-11-24,No tiene
SP-TTP-97P-004299,"Calle Maestro Caballero 3, 4º- B Castellón",Miguel Ángel,Reno in progress,2025-11-24,No tiene
SP-DEI-WOE-005373,"C. Molina de Aragón 7, 3º-C, Molina de segura",Almasur,Reno in progress,2025-11-24,No tiene
SP-CIJ-FRP-004309,"C. Peña Ciclista Muñoz, Bajo J, Bloque 1, Vicar, Almería",Momo Proyectos Habitables,Reno in progress,2025-11-24,No tiene